"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00187210983224186,3,5,67.7719298245614,"Citrate metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0006101"," ACO2  ACO1  ACLY"
0.00187210983224186,3,5,67.7719298245614,"Mesenchyme migration "," http://amigo.geneontology.org/amigo/term/GO:0090131"," ACTA2  ACTC1  ACTG2"
0.00379261857784164,3,7,48.4085213032581,"Very long-chain fatty acid catabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0042760"," ABCD1  ACOX1  ABCD2"
0.00187210983224186,4,14,32.2723475355054,"Venous blood vessel development "," http://amigo.geneontology.org/amigo/term/GO:0060841"," ACVR2B  APLNR  ACVRL1  BMPR2"
0.00360565155421113,4,19,23.7796244998461,"Neg. reg. of systemic arterial blood pressure "," http://amigo.geneontology.org/amigo/term/GO:0003085"," ADRB1  ADORA1  ADRB3  BMPR2"
3.8354288725738e-07,9,44,23.1040669856459,"Activation of adenylate cyclase activity "," http://amigo.geneontology.org/amigo/term/GO:0007190"," ADRB1  ADCY7  ADCYAP1  ADCY8  ADORA2B  ADCY6  ADRB3  ADORA3 NA"
0.00476077448166343,4,22,20.5369484316853,"Ethanol metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0006067"," ALDH3B1  ADH1B  ADH4  ADH1C"
0.00153705772398644,6,44,15.402711323764,"Neg. reg. of blood pressure "," http://amigo.geneontology.org/amigo/term/GO:0045776"," ADRB1  BDKRB1  ADORA1  ABAT  ADRB3  BMPR2"
0.000358777789366896,7,53,14.9183493324506,"Mesenchyme morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0072132"," ACTA2  BMP5  ACVR1  APLNR  ACVRL1  ACTC1  ACTG2"
0.00160793479467756,6,46,14.7330282227307,"Endocardial cushion development "," http://amigo.geneontology.org/amigo/term/GO:0003197"," BMP5  ACVR1  BMP4  APLNR  ACVRL1  BMPR2"
0.00403233132614075,5,40,14.1191520467836,"Pos. reg. of bone mineralization "," http://amigo.geneontology.org/amigo/term/GO:0030501"," ACVR2B  ACVR1  BMP4  BMPR2  ACTN3"
3.3994730099506e-05,9,77,13.2023239917977,"Fatty acid beta-oxidation "," http://amigo.geneontology.org/amigo/term/GO:0006635"," ACADVL  ACAT1  ACACB  ABCD1  ACADM  ACAT2  ACADS  ACOX1  ABCD2"
0.00187210983224186,6,53,12.787156570672,"Pos. reg. of pathway-restricted SMAD protein phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0010862"," BMP5  ACVR1  BMP4  ACVR1B  ACVRL1  BMPR2"
0.00293052561413935,6,59,11.4867677668748,"Retinol metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0042572"," AKR1B1  CYP3A5  ALDH1A3  ADH1B  ADH4  ADH1C"
0.00179186314742922,7,74,10.6847637110795,"Cellular aldehyde metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0006081"," ALDH3B1  ALDH3A1  BMP5  ALDOB  AGXT  ALDH1A3  ADH4"
0.00408154736211484,6,67,10.115213406651,"Reg. of lipid catabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0050994"," ACACB  ABCD1  AADAC  ADORA1  ALK  ABCD2"
0.00247070548684198,7,85,9.30202958376333,"Hormone biosynthetic proc. "," http://amigo.geneontology.org/amigo/term/GO:0042446"," AKR1B1  BMP5  AANAT  ARNT  ADM  DHCR7  DIO2"
0.00352297544589132,7,92,8.5942664632596,"Artery development "," http://amigo.geneontology.org/amigo/term/GO:0060840"," AP2B1  PRDM1  ACVR2B  BMP4  APLNR  ACVRL1  BMPR2"
0.00360565155421113,7,94,8.41140972999876,"Reg. of striated muscle contraction "," http://amigo.geneontology.org/amigo/term/GO:0006942"," DSP  BIN1  ANK2  ADORA1  ADRA1B  GRK2  ACTN3"
