"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.65494933195669e-05,4,5,72.2056074766355,"Mesenchyme migration "," http://amigo.geneontology.org/amigo/term/GO:0090131"," ACTA2  ACTA1  ACTC1  ACTG2"
1.34565172485298e-12,9,12,67.6927570093458,"Ethanol oxidation "," http://amigo.geneontology.org/amigo/term/GO:0006069"," ALDH2  ALDH1B1  ALDH1A1  ADH1A  ADH7  ADH1B  ADH5  ADH4  ADH1C"
1.36933567214452e-06,6,13,41.6570812365205,"G protein-coupled adenosine receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0001973"," ACP3  ADORA1  ADORA2B  ADCY5  ADA  ADORA3"
1.92495701236289e-11,10,22,41.0259133389974,"Ethanol metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0006067"," ALDH3B1  ALDH2  ALDH1B1  ALDH1A1  ADH1A  ADH7  ADH1B  ADH5  ADH4  ADH1C"
1.65494933195669e-05,5,11,41.0259133389974,"CAMP biosynthetic proc. "," http://amigo.geneontology.org/amigo/term/GO:0006171"," ADCY2  ADCY7  ADCY9  ADCY5  ADCY6"
3.63221911996285e-08,10,44,20.5129566694987,"Activation of adenylate cyclase activity "," http://amigo.geneontology.org/amigo/term/GO:0007190"," ADCY2  ADCY7  ADCY9  ADRB2  ADORA2B  ADCY5  ADCY6  ADRB3  ADORA3 NA"
4.18264727687542e-06,8,40,18.0514018691589,"Pos. reg. of bone mineralization "," http://amigo.geneontology.org/amigo/term/GO:0030501"," ATP2B1  BMP7  ACVR2B  ACVR1  ACVR2A  BMP4  ADRB2  ACTN3"
0.000202178717441568,6,32,16.9231892523364,"Cellular response to glucagon stimulus "," http://amigo.geneontology.org/amigo/term/GO:0071377"," CPS1  ADCY2  ADCY7  ADCY9  ADCY5  ADCY6"
0.000230087291024315,6,33,16.410365335599,"Reg. of fatty acid oxidation "," http://amigo.geneontology.org/amigo/term/GO:0046320"," ACADVL  ACACB  ABCD1  ACADL  AKT1  ABCD2"
1.65494933195669e-05,8,48,15.0428348909657,"Pos. reg. of biomineral tissue development "," http://amigo.geneontology.org/amigo/term/GO:0070169"," ATP2B1  BMP7  ACVR2B  ACVR1  ACVR2A  BMP4  ADRB2  ACTN3"
7.12126402760788e-05,7,42,15.0428348909657,"Response to glucagon "," http://amigo.geneontology.org/amigo/term/GO:0033762"," CPS1  ADCY2  ADCY7  ADCY9  ADCY5  ADCY6  CYC1"
1.65494933195669e-05,8,49,14.7358382605379,"Pos. reg. of biomineralization "," http://amigo.geneontology.org/amigo/term/GO:0110151"," ATP2B1  BMP7  ACVR2B  ACVR1  ACVR2A  BMP4  ADRB2  ACTN3"
7.89981204720262e-05,7,43,14.6930015214084,"Renal water homeostasis "," http://amigo.geneontology.org/amigo/term/GO:0003091"," ADCY2  ADCY7  ADCY9  AQP3  AQP4  ADCY5  ADCY6"
3.63221911996285e-08,12,77,14.0660274305134,"Fatty acid beta-oxidation "," http://amigo.geneontology.org/amigo/term/GO:0006635"," ACAA1  ACADVL  ACAT1  ACACB  ABCD1  ACADL  ACADM  ACAT2  ACADS  AKT1  ACOX1  ABCD2"
3.70132399822504e-06,10,74,12.1968931548371,"Cellular aldehyde metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0006081"," ALDH3B1  ALDH3A2  ALDH3A1  CLCN2  ALDOB  ALDH1A1  AGXT  ALDH1A3  ADH5  ADH4"
0.000129180398206446,8,67,10.7769563397963,"Reg. of lipid catabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0050994"," ACACB  ABCD1  AADAC  AKT1  ADORA1  ALK  ABCD2  APOC2"
5.28036436649585e-05,9,80,10.1539135514019,"Reg. of bone mineralization "," http://amigo.geneontology.org/amigo/term/GO:0030500"," ATP2B1  BMP7  ACVR2B  ACVR1  ACVR2A  BMP4  AHSG  ADRB2  ACTN3"
0.000230087291024315,9,99,8.20518266779949,"Reg. of biomineral tissue development "," http://amigo.geneontology.org/amigo/term/GO:0070167"," ATP2B1  BMP7  ACVR2B  ACVR1  ACVR2A  BMP4  AHSG  ADRB2  ACTN3"
